NOME,INSTITUICAO,CATEGORIA,SUBCATEGORIA,NOTA,HORAS,LINK,ANO,OBJETIVO,VALIDACAO
Fundamentos da Linguagem Python para Analise de Dados e Data Science - Nivel Introdutório,Data Science Academy,Tecnologia,Python,84,24,https://drive.google.com/file/d/1CB_knwBo8rslBjaBT9qwL-GkzkOF5Kjd/view?usp=sharing,2024,Ciência de Dados,
Fundamentos da Linguagem Python para Analise de Dados e Data Science - Nivel Básico,Data Science Academy,Tecnologia,Python,94,48,https://drive.google.com/file/d/1wVPu3U4pORnV5RhmH6pGL_fkZc2GROms/view?usp=sharing,2024,Ciência de Dados,
Fundamentos da Linguagem Python para Analise de Dados e Data Science - Nivel Intermediário,Data Science Academy,Tecnologia,Pyhon,97,72,https://drive.google.com/file/d/1m-vqQNb9o6NDyo769SIA_xRT3uzAlZcg/view?usp=sharing,2024,Ciência de Dados,
Python,Santander Open Academy,Tecnologia,Python,100,8,https://drive.google.com/file/d/1339M9GelmPzUh8MQxLWE1f_356CZufNv/view?usp=sharing,2024,Ciência de Dados,
Estatística,Escola Nacional de Administração Pública,Tecnologia,Estatística,"89,17",20,https://drive.google.com/file/d/17eQugZuhv6ML0T4POQ5brEIXQjxNrlQG/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=XheS13904370DjPh
Aprendendo com Python,Escola Nacional de Administração Pública,Tecnologia,Python,75,20,https://drive.google.com/file/d/1FGGmxujP7qdGy6GQryx-o8iXydx16oRU/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=91ee13866016RNPr
Introdução à Ciência de Dados - Conjuntos Frequentes,Escola Nacional de Administração Pública,Tecnologia,Ciência de Dados,75,4,https://drive.google.com/file/d/1Iva5RcjrFx-t4HfsaOCkWjfmeIyKmEE3/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=iqit13852878X1Xr
Nivelamento de Matemática 2023.2,Programa de Educação Tutorial - PET,Evento,Ministrante,100,2,https://drive.google.com/file/d/1DRDjfPYqTGQdeJ8Wcg4112knYhbc86Nd/view?usp=sharing,2023,Outro,
XIX Semana de Economia da Universidade Federal de Alagoas,Programa de Educação Tutorial - PET,Evento,Organizador,100,60,https://drive.google.com/file/d/1aa9TUY46dvMmFC7Tvpd1KJRlLTBHMgnM/view?usp=sharing,2022,Outro,
Nivelamento de Matemática 2022.2,Programa de Educação Tutorial - PET,Evento,Ministrante,100,3,https://drive.google.com/file/d/1eVY0DRJOHqY8krut3plE4r9UfWr8fJXk/view?usp=sharing,2022,Outro,
Escrita Científica: Produção de Artigos de Alto Impacto,Zuco Escrita,Escrita,Escrita,100,3,https://drive.google.com/file/d/14St_On0CNwC7mrWnZtBKdTVct4yocJuQ/view?usp=sharing,2024,Outro,
XXVIII Encontro Nacional de Economia Política,Sociedade Brasileira de Economia Política,Evento,Monitoria,100,18,https://drive.google.com/file/d/1MtOUzOY4eYakd0pH3Ro-pWzSIJtNNoP4/view?usp=sharing,2023,Outro,
XXVIII Encontro Nacional de Economia Política,Sociedade Brasileira de Economia Política,Evento,Organizador,100,72,https://drive.google.com/file/d/1jmK57-o7HyO_UvvxatgPvca_iaQLHLel/view?usp=sharing,2023,Outro,
Introdução à Ciência de Dados - Conceitos e Ferramentas,Escola Nacional de Administração Pública,Tecnologia,Ciência de Dados,80,4,https://drive.google.com/file/d/17y4jzWGlSEpGX3YlKtOSn1jFRsnAzWvy/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=Wckf14095207Xwwf
Introdução à Ciência de Dados - Modelos de Regressão,Escola Nacional de Administração Pública,Tecnologia,Ciência de Dados,"83,33",4,https://drive.google.com/file/d/1CzS0ECRLUljy42DdCoyZzYekwjUzkVi9/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=Ae5V14095027gUuG
Introdução à Ciência de Dados - Modelos de Agrupamento,Escola Nacional de Administração Pública,Tecnologia,Ciência de Dados,100,4,https://drive.google.com/file/d/12_2xeXq1pc_Q-b4wqsZGwwBMc4mN97hV/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=8gtF140951340L6f
Análise de dados como suporte à tomada de decisão.,Escola Nacional de Administração Pública,Tecnologia,Análise de Dados,"82,73",30,https://drive.google.com/file/d/1MM3VrVRTf2807TY0HqFXEwl2_9hqe3jd/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=Rryn13876074lT6l
Estatística para Análise de Dados na Administração Pública,Escola Nacional de Administração Pública,Tecnologia,Análise de Dados,"75,42",25,https://drive.google.com/file/d/1XJEMxrg1ibbAfUAeRT3ZIvfBp244t5rE/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=2S39139552658oHi
Criação de indicadores de desempenho para transformação digital,Escola Nacional de Administração Pública,Tecnologia,Transformação Digital,"72,5",25,https://drive.google.com/file/d/10a8sFWqbsr_XrjgS3n9gw0ePqVQRnan_/view?usp=sharing,2024,Transformação Digital,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=ap5h13955250pj6t
Introdução à ciência de dados,Programa de Educação a distância da Fundação Gétulio Vargas,Tecnologia,Ciência de Dados,80,60,https://drive.google.com/file/d/1dTXd59fE6i6mACQHSXrFac_uAdNhEvM8/view?usp=sharing,2024,Ciência de Dados,
Visualizacao de Dados Aplicada a Transformacao Digital,Escola Nacional de Administração Pública,Tecnologia,Análise de Dados,"83,2",25,https://drive.google.com/file/d/1HDNnKkAuk4_y6rqCecTWTbiORqyzr432/view?usp=sharing,2024,Ciência de Dados,https://www.escolavirtual.gov.br/documentos/validacao/validar-documentos?comp_doc=sdwo14122496Irji